
Sync-Point 0, Time: 0.015625, Redshift: 63, Nf = 0016777216, Systemstep: 0, Dloga: 0
Sync-Point 125, Time: 0.104121, Redshift: 8.60424, Nf = 0000000009, Systemstep: 0.000422019, Dloga: 0.00406141

Sync-Point 126, Time: 0.104544, Redshift: 8.56532, Nf = 0004365460, Systemstep: 0.000423736, Dloga: 0.00406141

Sync-Point 127, Time: 0.10497, Redshift: 8.52655, Nf = 0000000009, Systemstep: 0.000425461, Dloga: 0.00406141

Sync-Point 128, Time: 0.105397, Redshift: 8.48793, Nf = 0000011031, Systemstep: 0.000427192, Dloga: 0.00406141

Sync-Point 129, Time: 0.105826, Redshift: 8.44948, Nf = 0000000021, Systemstep: 0.000428931, Dloga: 0.00406141

Sync-Point 130, Time: 0.106257, Redshift: 8.41118, Nf = 0016777216, Systemstep: 0.000430677, Dloga: 0.00406141

Sync-Point 131, Time: 0.106689, Redshift: 8.37303, Nf = 0000000028, Systemstep: 0.000432429, Dloga: 0.00406141

Sync-Point 132, Time: 0.107123, Redshift: 8.33504, Nf = 0000013455, Systemstep: 0.000434189, Dloga: 0.00406141

Sync-Point 133, Time: 0.107559, Redshift: 8.2972, Nf = 0000000040, Systemstep: 0.000435956, Dloga: 0.00406141

Sync-Point 134, Time: 0.107997, Redshift: 8.25952, Nf = 0004859413, Systemstep: 0.00043773, Dloga: 0.00406141

Sync-Point 135, Time: 0.108436, Redshift: 8.22199, Nf = 0000000045, Systemstep: 0.000439512, Dloga: 0.00406141

Sync-Point 136, Time: 0.108878, Redshift: 8.18461, Nf = 0000016264, Systemstep: 0.0004413, Dloga: 0.00406141

Sync-Point 137, Time: 0.109321, Redshift: 8.14739, Nf = 0000000057, Systemstep: 0.000443096, Dloga: 0.00406141

Sync-Point 138, Time: 0.109766, Redshift: 8.11031, Nf = 0016777216, Systemstep: 0.0004449, Dloga: 0.00406141

Sync-Point 139, Time: 0.110212, Redshift: 8.07338, Nf = 0000000063, Systemstep: 0.00044671, Dloga: 0.00406141

Sync-Point 140, Time: 0.110661, Redshift: 8.03661, Nf = 0000019423, Systemstep: 0.000448528, Dloga: 0.00406141

Sync-Point 141, Time: 0.111111, Redshift: 7.99998, Nf = 0000000066, Systemstep: 0.000450354, Dloga: 0.00406141

Sync-Point 142, Time: 0.111564, Redshift: 7.9635, Nf = 0005368591, Systemstep: 0.000452186, Dloga: 0.00406141

Sync-Point 143, Time: 0.112018, Redshift: 7.92717, Nf = 0000000074, Systemstep: 0.000454027, Dloga: 0.00406141

Sync-Point 144, Time: 0.112473, Redshift: 7.89099, Nf = 0000023261, Systemstep: 0.000455874, Dloga: 0.00406141

Sync-Point 145, Time: 0.112931, Redshift: 7.85495, Nf = 0000000076, Systemstep: 0.00045773, Dloga: 0.00406141

Sync-Point 146, Time: 0.113391, Redshift: 7.81906, Nf = 0016777216, Systemstep: 0.000459592, Dloga: 0.00406141

Sync-Point 147, Time: 0.113852, Redshift: 7.78332, Nf = 0000000084, Systemstep: 0.000461463, Dloga: 0.00406141

Sync-Point 148, Time: 0.114316, Redshift: 7.74772, Nf = 0000027757, Systemstep: 0.000463341, Dloga: 0.00406141

Sync-Point 149, Time: 0.114781, Redshift: 7.71226, Nf = 0000000095, Systemstep: 0.000465226, Dloga: 0.00406141

Sync-Point 150, Time: 0.115248, Redshift: 7.67695, Nf = 0005886077, Systemstep: 0.00046712, Dloga: 0.00406141

Sync-Point 151, Time: 0.115717, Redshift: 7.64178, Nf = 0000000097, Systemstep: 0.000469021, Dloga: 0.00406141

Sync-Point 152, Time: 0.116188, Redshift: 7.60675, Nf = 0000032776, Systemstep: 0.000470929, Dloga: 0.00406141

Sync-Point 153, Time: 0.116661, Redshift: 7.57187, Nf = 0000000123, Systemstep: 0.000472846, Dloga: 0.00406141

Sync-Point 154, Time: 0.117135, Redshift: 7.53712, Nf = 0016777216, Systemstep: 0.00047477, Dloga: 0.00406141

Sync-Point 155, Time: 0.117612, Redshift: 7.50252, Nf = 0000000157, Systemstep: 0.000476702, Dloga: 0.00406141

Sync-Point 156, Time: 0.118091, Redshift: 7.46806, Nf = 0000038548, Systemstep: 0.000478643, Dloga: 0.00406141

Sync-Point 157, Time: 0.118571, Redshift: 7.43374, Nf = 0000000183, Systemstep: 0.00048059, Dloga: 0.00406141

Sync-Point 158, Time: 0.119054, Redshift: 7.39955, Nf = 0006409624, Systemstep: 0.000482546, Dloga: 0.00406141

Sync-Point 159, Time: 0.119538, Redshift: 7.36551, Nf = 0000000210, Systemstep: 0.00048451, Dloga: 0.00406141

Sync-Point 160, Time: 0.120025, Redshift: 7.3316, Nf = 0000044896, Systemstep: 0.000486482, Dloga: 0.00406141

Sync-Point 161, Time: 0.120513, Redshift: 7.29783, Nf = 0000000228, Systemstep: 0.000488462, Dloga: 0.00406141

Sync-Point 162, Time: 0.121004, Redshift: 7.2642, Nf = 0016777216, Systemstep: 0.00049045, Dloga: 0.00406141

Sync-Point 163, Time: 0.121496, Redshift: 7.2307, Nf = 0000000268, Systemstep: 0.000492446, Dloga: 0.00406141

Sync-Point 164, Time: 0.121991, Redshift: 7.19734, Nf = 0000052609, Systemstep: 0.00049445, Dloga: 0.00406141

Sync-Point 165, Time: 0.122487, Redshift: 7.16412, Nf = 0000000334, Systemstep: 0.000496462, Dloga: 0.00406141

Sync-Point 166, Time: 0.122986, Redshift: 7.13103, Nf = 0006935482, Systemstep: 0.000498482, Dloga: 0.00406141

Sync-Point 167, Time: 0.123486, Redshift: 7.09807, Nf = 0000000350, Systemstep: 0.000500511, Dloga: 0.00406141

Sync-Point 168, Time: 0.123989, Redshift: 7.06525, Nf = 0000061070, Systemstep: 0.000502548, Dloga: 0.00406141

Sync-Point 169, Time: 0.124493, Redshift: 7.03256, Nf = 0000000370, Systemstep: 0.000504593, Dloga: 0.00406141

Sync-Point 170, Time: 0.125, Redshift: 7, Nf = 0016777216, Systemstep: 0.000506647, Dloga: 0.00406141

Sync-Point 171, Time: 0.125509, Redshift: 6.96757, Nf = 0000000418, Systemstep: 0.000508708, Dloga: 0.00406141

Sync-Point 172, Time: 0.126019, Redshift: 6.93528, Nf = 0000070734, Systemstep: 0.000510779, Dloga: 0.00406141

Sync-Point 173, Time: 0.126532, Redshift: 6.90312, Nf = 0000000446, Systemstep: 0.000512857, Dloga: 0.00406141

Sync-Point 174, Time: 0.127047, Redshift: 6.87108, Nf = 0007461687, Systemstep: 0.000514945, Dloga: 0.00406141

Sync-Point 175, Time: 0.127564, Redshift: 6.83918, Nf = 0000000495, Systemstep: 0.00051704, Dloga: 0.00406141

Sync-Point 176, Time: 0.128083, Redshift: 6.80741, Nf = 0000081177, Systemstep: 0.000519144, Dloga: 0.00406141

Sync-Point 177, Time: 0.128605, Redshift: 6.77576, Nf = 0000000550, Systemstep: 0.000521257, Dloga: 0.00406141

Sync-Point 178, Time: 0.129128, Redshift: 6.74425, Nf = 0016777216, Systemstep: 0.000523379, Dloga: 0.00406141

Sync-Point 179, Time: 0.129654, Redshift: 6.71286, Nf = 0000000610, Systemstep: 0.000525509, Dloga: 0.00406141

Sync-Point 180, Time: 0.130181, Redshift: 6.6816, Nf = 0000093126, Systemstep: 0.000527647, Dloga: 0.00406141

Sync-Point 181, Time: 0.130711, Redshift: 6.65046, Nf = 0000000719, Systemstep: 0.000529795, Dloga: 0.00406141

Sync-Point 182, Time: 0.131243, Redshift: 6.61945, Nf = 0007982229, Systemstep: 0.000531951, Dloga: 0.00406141

Sync-Point 183, Time: 0.131777, Redshift: 6.58857, Nf = 0000000830, Systemstep: 0.000534115, Dloga: 0.00406141

Sync-Point 184, Time: 0.132313, Redshift: 6.55781, Nf = 0000106342, Systemstep: 0.000536289, Dloga: 0.00406141

Sync-Point 185, Time: 0.132852, Redshift: 6.52718, Nf = 0000000963, Systemstep: 0.000538472, Dloga: 0.00406141

Sync-Point 186, Time: 0.133393, Redshift: 6.49667, Nf = 0016777216, Systemstep: 0.000540663, Dloga: 0.00406141

Sync-Point 187, Time: 0.133935, Redshift: 6.46629, Nf = 0000001144, Systemstep: 0.000542863, Dloga: 0.00406141

Sync-Point 188, Time: 0.13448, Redshift: 6.43602, Nf = 0000121392, Systemstep: 0.000545073, Dloga: 0.00406141

Sync-Point 189, Time: 0.135028, Redshift: 6.40588, Nf = 0000001333, Systemstep: 0.000547291, Dloga: 0.00406141

Sync-Point 190, Time: 0.135577, Redshift: 6.37587, Nf = 0008494758, Systemstep: 0.000549518, Dloga: 0.00406141

